                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.5023,                 1.8737,                0.83806,                0.92779,                 0.8317,                0.88366,                0.90273,                0.56466,                0.78365,                0.73407,                0.79162,                0.38782,                 1.2087,                 1.4172,                0.67934,                0.88475,              0.0018109,              0.0018109,              0.0018109
                     62,                 1.4738,                 1.8253,                0.83937,                0.92624,                 0.8317,                0.88366,                0.90273,                0.56466,                0.78365,                0.73407,                0.79162,                0.38782,                 1.2087,                 1.4172,                0.67934,                0.88475,              0.0018048,              0.0018048,              0.0018048
                     63,                 1.3689,                 1.7194,                0.80185,                0.90692,                0.84131,                0.86704,                0.90462,                0.57988,                0.77906,                0.73684,                0.78743,                0.37131,                 1.1683,                 1.3749,                0.66875,                0.88268,              0.0017986,              0.0017986,              0.0017986
                     64,                 1.4698,                 1.7828,                0.84796,                0.92629,                 0.8292,                 0.8876,                0.90523,                0.54901,                0.76124,                0.73684,                0.77034,                0.32769,                 1.2835,                 1.3945,                 0.7025,                0.89399,              0.0017923,              0.0017923,              0.0017923
                     65,                 1.4723,                 1.7811,                0.84307,                 0.9274,                0.83372,                 0.8611,                0.89967,                0.54214,                0.78465,                0.73961,                0.78854,                0.36172,                 1.2846,                 1.4273,                0.71525,                0.89442,              0.0017859,              0.0017859,              0.0017859
                     66,                 1.4935,                 1.8241,                0.83941,                0.92453,                0.84863,                0.82548,                0.89655,                0.55628,                0.79813,                0.73961,                0.79659,                0.38603,                 1.2136,                 1.3903,                0.71703,                0.88306,              0.0017794,              0.0017794,              0.0017794
                     67,                 1.3957,                 1.7826,                0.85228,                0.92176,                0.84331,                0.83489,                0.88825,                0.56643,                0.79442,                0.74932,                0.78876,                0.37298,                 1.1652,                 1.3705,                0.70533,                0.87788,              0.0017728,              0.0017728,              0.0017728
                     68,                  1.486,                 1.8972,                0.83939,                0.92237,                0.78589,                 0.8892,                0.88584,                0.56171,                0.75785,                0.70914,                0.75869,                0.35247,                 1.1562,                  1.379,                0.69296,                0.87985,              0.0017662,              0.0017662,              0.0017662
                     69,                 1.3856,                 1.7143,                0.81021,                0.90828,                0.79722,                0.86033,                0.88486,                0.54533,                0.75176,                0.72143,                0.76862,                0.36094,                  1.264,                 1.4389,                0.71362,                0.89613,              0.0017594,              0.0017594,              0.0017594
                     70,                 1.3817,                 1.6546,                 0.8075,                0.90972,                0.79722,                0.86033,                0.88486,                0.54533,                0.75176,                0.72143,                0.76862,                0.36094,                  1.264,                 1.4389,                0.71362,                0.89613,              0.0017526,              0.0017526,              0.0017526
                     71,                 1.3897,                 1.7124,                0.81656,                 0.9059,                0.81244,                0.85191,                0.89287,                0.54217,                0.77365,                0.71009,                0.77076,                0.34333,                 1.2427,                  1.438,                0.71477,                0.89568,              0.0017457,              0.0017457,              0.0017457
                     72,                 1.4396,                 1.7247,                0.82902,                0.91054,                0.82756,                 0.8508,                0.89804,                0.55299,                0.73859,                0.75134,                0.78476,                0.36247,                  1.237,                 1.4095,                0.70427,                0.89594,              0.0017387,              0.0017387,              0.0017387
