                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.2951,                 1.5872,                0.64826,                0.86645,                0.87498,                0.86934,                0.93562,                0.58086,                0.76754,                0.74779,                0.77628,                0.33259,                 1.1787,                 1.3666,                0.60877,                 0.8532,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.3187,                 1.5813,                0.63767,                0.86265,                0.83523,                0.91638,                 0.9353,                0.55017,                0.74704,                0.70383,                0.74045,                0.30134,                 1.2647,                 1.4605,                 0.6176,                0.86349,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.2922,                 1.5495,                0.62627,                0.85938,                0.84457,                0.90244,                0.93264,                 0.5699,                 0.7774,                0.73693,                0.80067,                0.34971,                 1.2261,                 1.3972,                0.60479,                0.86005,               0.001736,               0.001736,               0.001736
                     42,                 1.2924,                 1.5366,                0.63396,                0.86214,                 0.8554,                 0.9007,                0.93664,                0.56996,                0.77707,                0.70557,                0.77252,                0.33827,                 1.2207,                 1.3971,                0.61408,                0.85893,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.3263,                 1.5766,                0.63479,                  0.856,                0.87167,                0.84843,                0.91911,                0.53801,                0.73864,                0.66959,                0.73764,                0.27755,                 1.2666,                 1.5147,                0.61826,                0.86474,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.2936,                 1.5677,                0.63746,                0.86369,                0.87235,                 0.8676,                0.92852,                0.55223,                0.77528,                0.69164,                0.75327,                0.30719,                 1.2541,                 1.3683,                0.60606,                0.86142,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.2536,                 1.5249,                0.61499,                0.86009,                 0.8755,                0.84843,                0.92933,                0.55771,                0.75045,                0.72822,                0.77839,                0.30657,                 1.2588,                 1.5048,                0.61596,                0.86391,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.252,                 1.5494,                0.61541,                0.85986,                0.85952,                0.88475,                0.92893,                 0.5438,                0.72846,                0.70035,                0.71638,                0.26957,                 1.2873,                 1.4611,                0.63695,                0.86114,               0.001703,               0.001703,               0.001703
                     47,                 1.3159,                 1.5477,                0.63688,                0.86346,                0.87379,                0.88052,                 0.9307,                0.55777,                 0.8172,                 0.8101,                0.86177,                0.42677,                  1.237,                 1.3409,                0.61703,                0.85868,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.3579,                 1.5828,                0.64736,                0.86722,                0.85648,                0.84146,                0.91706,                0.51605,                0.74695,                 0.6068,                0.70241,                0.24905,                 1.3823,                 1.5075,                0.65098,                0.87453,              0.0016898,              0.0016898,              0.0016898
