                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.9188,                 1.9996,                 1.1127,                0.93112,                0.59095,                0.71154,                0.60309,                0.26169,                0.55582,                0.67308,                0.55369,                0.25479,                 1.8191,                 1.9542,                 1.2416,                0.92336,              0.0018921,              0.0018921,              0.0018921
                     47,                 1.9336,                 2.0028,                 1.1968,                0.93518,                0.59095,                0.71154,                0.60309,                0.26169,                0.55582,                0.67308,                0.55369,                0.25479,                 1.8191,                 1.9542,                 1.2416,                0.92336,              0.0018873,              0.0018873,              0.0018873
                     48,                 1.8873,                 1.9667,                 1.1376,                0.92586,                0.59095,                0.71154,                0.60309,                0.26169,                0.55582,                0.67308,                0.55369,                0.25479,                 1.8191,                 1.9542,                 1.2416,                0.92336,              0.0018825,              0.0018825,              0.0018825
                     49,                 1.8729,                 2.0861,                 1.2325,                0.94291,                0.59095,                0.71154,                0.60309,                0.26169,                0.55582,                0.67308,                0.55369,                0.25479,                 1.8191,                 1.9542,                 1.2416,                0.92336,              0.0018775,              0.0018775,              0.0018775
                     50,                 1.9085,                 2.1582,                 1.1679,                0.94413,                0.65633,                0.75903,                 0.6763,                0.30249,                0.62776,                0.72431,                0.63379,                0.28657,                 1.7774,                 2.0918,                 1.1106,                0.90274,              0.0018725,              0.0018725,              0.0018725
                     51,                 2.0942,                 2.3293,                 1.1459,                0.94959,                0.65633,                0.75903,                 0.6763,                0.30249,                0.62776,                0.72431,                0.63379,                0.28657,                 1.7774,                 2.0918,                 1.1106,                0.90274,              0.0018674,              0.0018674,              0.0018674
                     52,                 2.1305,                 2.3755,                 1.1632,                0.94301,                0.65633,                0.75903,                 0.6763,                0.30249,                0.62776,                0.72431,                0.63379,                0.28657,                 1.7774,                 2.0918,                 1.1106,                0.90274,              0.0018621,              0.0018621,              0.0018621
                     53,                 1.9008,                 2.1835,                 1.0935,                 0.9402,                0.65633,                0.75903,                 0.6763,                0.30249,                0.62776,                0.72431,                0.63379,                0.28657,                 1.7774,                 2.0918,                 1.1106,                0.90274,              0.0018568,              0.0018568,              0.0018568
                     54,                  1.727,                 1.9807,                 1.0876,                0.94131,                0.67584,                0.78846,                0.75379,                0.38322,                0.64112,                0.71154,                0.68717,                0.33883,                 1.6392,                 1.9053,                0.97287,                 0.8853,              0.0018514,              0.0018514,              0.0018514
                     55,                 1.9698,                 2.3081,                 1.1202,                0.95666,                0.67584,                0.78846,                0.75379,                0.38322,                0.64112,                0.71154,                0.68717,                0.33883,                 1.6392,                 1.9053,                0.97287,                 0.8853,              0.0018459,              0.0018459,              0.0018459
                     56,                 1.9141,                   2.14,                 1.0785,                0.93004,                0.67584,                0.78846,                0.75379,                0.38322,                0.64112,                0.71154,                0.68717,                0.33883,                 1.6392,                 1.9053,                0.97287,                 0.8853,              0.0018403,              0.0018403,              0.0018403
                     57,                  1.862,                 2.0524,                 1.0827,                0.93078,                0.67584,                0.78846,                0.75379,                0.38322,                0.64112,                0.71154,                0.68717,                0.33883,                 1.6392,                 1.9053,                0.97287,                 0.8853,              0.0018346,              0.0018346,              0.0018346
