                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3892,                 1.6406,                0.73196,                0.87274,                 0.8769,                0.76923,                0.87138,                0.51214,                0.79077,                0.69872,                0.77748,                0.35581,                 1.3856,                 1.5865,                0.71858,                0.89784,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.4539,                 1.8111,                0.76537,                0.90094,                0.78379,                0.88305,                0.89419,                0.58104,                0.82338,                   0.75,                 0.8126,                0.36172,                 1.1793,                 1.4218,                0.67832,                0.88197,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.4339,                 1.6845,                0.74218,                0.87577,                0.83485,                0.80128,                0.88336,                0.49446,                0.75784,                0.66026,                0.73611,                0.31306,                 1.4122,                 1.7266,                0.72867,                0.90588,               0.001769,               0.001769,               0.001769
                     37,                 1.4212,                 1.6969,                0.73424,                0.87009,                0.85789,                0.77399,                0.87239,                0.53277,                0.74998,                0.67301,                 0.7367,                0.31761,                 1.3037,                  1.599,                 0.6975,                0.89442,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.4166,                 1.6825,                0.72908,                0.87686,                0.81956,                0.83333,                 0.8775,                0.58079,                0.79174,                0.73077,                0.79641,                0.38495,                 1.1858,                 1.4491,                0.68135,                0.88517,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.4278,                  1.671,                0.73133,                0.88774,                0.87108,                0.80769,                0.88664,                0.59332,                0.83202,                0.76201,                 0.8358,                0.39272,                 1.1604,                 1.3954,                0.66256,                0.87683,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.3723,                 1.6206,                0.73053,                 0.8803,                0.80024,                0.87821,                0.89581,                0.56241,                0.80915,                0.69872,                0.79126,                0.35388,                 1.2443,                 1.6115,                0.67401,                0.88147,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.3626,                  1.607,                0.72452,                0.86972,                0.84618,                0.81106,                0.88625,                0.55071,                 0.8215,                0.71154,                0.80561,                0.36726,                 1.3099,                 1.5524,                0.68829,                0.88417,               0.001736,               0.001736,               0.001736
                     42,                 1.2793,                 1.5554,                0.69309,                0.86559,                0.85292,                0.83333,                0.90821,                0.58187,                0.78829,                0.71605,                0.80192,                0.35749,                 1.1441,                 1.4455,                0.65872,                0.86859,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.3732,                 1.5985,                0.70644,                0.87917,                0.81409,                 0.8421,                0.90369,                0.58728,                0.84314,                0.72356,                0.81743,                0.37969,                 1.1921,                 1.5126,                0.65817,                0.87428,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.3117,                 1.5888,                0.70736,                0.87256,                 0.8651,                0.82051,                0.89777,                0.54621,                0.78205,                0.71303,                  0.784,                0.31814,                 1.2859,                 1.4374,                0.66433,                 0.8837,              0.0017162,              0.0017162,              0.0017162
                     45,                  1.355,                 1.5859,                0.69244,                0.86219,                0.87044,                0.80128,                0.89913,                0.57383,                0.78214,                0.71795,                0.78833,                0.35631,                 1.2075,                 1.4026,                0.65185,                0.87275,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.2673,                 1.5496,                0.66681,                0.86954,                0.86823,                 0.8025,                0.90634,                0.58231,                0.80432,                0.79487,                0.83705,                0.40075,                 1.1815,                 1.4349,                0.67315,                0.87769,               0.001703,               0.001703,               0.001703
                     47,                 1.3207,                 1.6055,                0.70171,                 0.8732,                 0.8789,                0.79091,                0.90173,                0.58129,                0.83884,                0.76742,                0.81972,                0.39635,                 1.1624,                 1.4202,                0.68841,                0.87621,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.2617,                 1.5602,                0.67297,                0.86655,                0.87361,                0.79487,                0.89394,                0.55654,                0.80679,                0.72271,                0.78359,                 0.3542,                  1.237,                 1.5193,                0.68531,                0.88293,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.3315,                 1.5906,                 0.7018,                0.86311,                0.86758,                0.80769,                0.90288,                 0.5574,                 0.7792,                0.70128,                0.79241,                0.35605,                 1.2458,                 1.5348,                 0.6775,                0.87943,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.3909,                 1.6749,                0.69696,                0.86439,                0.82947,                0.84189,                0.89822,                0.58609,                0.77416,                0.73077,                0.80196,                0.38288,                 1.1541,                 1.4324,                0.64784,                0.86705,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.2639,                 1.5275,                0.67438,                 0.8655,                0.84017,                 0.8141,                0.89526,                0.54488,                0.80232,                0.72848,                0.79551,                0.35687,                 1.2271,                 1.4997,                0.67244,                0.88141,                0.00167,                0.00167,                0.00167
                     52,                 1.3048,                 1.5562,                0.68574,                0.86463,                0.79337,                0.86143,                0.89076,                0.56346,                 0.7459,                0.74359,                0.80715,                0.35519,                 1.1999,                 1.4718,                0.64981,                0.88218,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.3431,                 1.5723,                0.68392,                0.86717,                0.80863,                0.83965,                0.88606,                0.56681,                0.75969,                0.77564,                0.82343,                0.38971,                 1.2083,                 1.5227,                 0.6493,                0.88693,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.2952,                 1.5744,                 0.6965,                 0.8738,                0.79681,                0.85256,                0.88988,                 0.5652,                0.85876,                0.67949,                0.78508,                0.36693,                 1.2249,                 1.4293,                0.65731,                0.88677,              0.0016502,              0.0016502,              0.0016502
                     55,                  1.281,                 1.4873,                0.66163,                 0.8601,                0.83905,                0.82051,                0.89361,                0.52968,                0.84592,                 0.6859,                0.78018,                0.33181,                 1.3879,                  1.526,                0.69878,                0.90708,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.2558,                 1.5754,                0.65907,                0.86289,                0.87155,                0.80128,                0.90072,                0.54021,                0.71608,                0.74359,                0.78465,                0.34391,                 1.3401,                 1.5471,                0.66778,                0.90556,               0.001637,               0.001637,               0.001637
                     57,                 1.4167,                 1.6134,                0.72929,                0.86833,                 0.8303,                 0.8141,                0.89381,                0.53767,                0.80007,                0.64103,                0.75094,                0.31882,                 1.3582,                 1.4937,                0.67961,                0.90426,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.2745,                 1.5164,                 0.6664,                0.85857,                0.79022,                0.89347,                0.90732,                 0.5785,                0.85251,                0.67949,                0.78197,                 0.3371,                 1.1998,                 1.4681,                0.65625,                0.88849,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.3512,                 1.5191,                0.68834,                0.86833,                0.82767,                0.83974,                0.89297,                0.54136,                0.80684,                0.66941,                0.76712,                0.36636,                 1.3241,                 1.4417,                0.68323,                0.89238,              0.0016172,              0.0016172,              0.0016172
                     60,                  1.355,                 1.5459,                0.69395,                0.86655,                0.80108,                0.87773,                0.89937,                0.58502,                0.82071,                0.70424,                0.81794,                0.38224,                  1.189,                 1.3727,                0.65496,                0.87858,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.3034,                 1.5799,                0.69307,                0.86935,                0.87914,                0.78846,                0.88875,                0.57232,                0.84679,                0.75641,                0.84965,                0.40152,                 1.2216,                 1.3904,                0.66292,                0.88192,               0.001604,               0.001604,               0.001604
                     62,                 1.3192,                 1.5707,                0.67441,                0.86871,                0.81511,                0.84782,                0.89883,                0.57017,                0.84621,                0.67949,                0.79481,                0.34753,                  1.211,                 1.6495,                0.64576,                0.88098,              0.0015974,              0.0015974,              0.0015974
                     63,                  1.285,                 1.5878,                0.66805,                0.85952,                0.78413,                0.86154,                0.90203,                 0.5759,                0.86627,                 0.6859,                0.78664,                0.32391,                 1.2047,                 1.5893,                0.65007,                0.88044,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.3414,                 1.6172,                0.67207,                0.86265,                0.82137,                0.89103,                0.90207,                0.58412,                0.84898,                0.71154,                0.81276,                0.36081,                 1.2007,                 1.3863,                0.64009,                0.88667,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.2613,                 1.5751,                0.66097,                0.87624,                 0.8037,                0.88462,                0.88991,                0.58773,                0.79295,                0.71196,                0.79301,                0.36219,                 1.1701,                 1.3895,                0.62199,                0.88625,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.3035,                 1.5544,                0.72867,                0.86437,                0.78208,                0.89103,                0.89616,                0.56705,                0.69275,                0.78846,                0.76931,                0.34285,                 1.2504,                 1.5375,                0.64378,                0.89009,               0.001571,               0.001571,               0.001571
                     67,                 1.2679,                 1.5338,                0.63899,                0.86065,                 0.7841,                0.86538,                0.89789,                0.58231,                0.81935,                0.71154,                0.81149,                0.37295,                 1.1691,                  1.439,                0.63704,                0.87352,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.2304,                 1.5064,                   0.64,                0.85736,                0.83787,                 0.8141,                0.90379,                0.56851,                0.87201,                0.66026,                0.79506,                 0.3613,                 1.2011,                 1.3993,                0.64098,                0.87393,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.3016,                 1.5468,                0.65292,                0.85502,                0.79809,                0.83614,                0.89259,                0.58532,                0.87674,                0.66026,                0.79677,                0.37625,                 1.1795,                 1.3971,                0.63137,                0.87592,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.2289,                 1.5428,                0.64019,                0.86409,                0.81564,                0.84615,                0.90075,                 0.5778,                0.80995,                0.72436,                0.82462,                0.36405,                 1.2226,                 1.4963,                0.66668,                0.88563,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.3081,                 1.5071,                0.65499,                 0.8547,                0.79383,                0.87179,                0.90546,                0.57675,                0.72362,                0.77564,                0.80168,                0.34622,                 1.2081,                 1.5175,                0.66849,                0.88249,               0.001538,               0.001538,               0.001538
                     72,                 1.2453,                  1.521,                0.64442,                0.85979,                 0.7784,                0.90068,                 0.8953,                0.59984,                0.77076,                0.78846,                0.83321,                 0.3963,                 1.1538,                 1.3737,                0.63674,                0.87258,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.2773,                 1.5439,                 0.6592,                 0.8537,                0.86369,                0.81237,                0.90045,                0.58061,                0.78458,                0.72436,                0.79841,                0.37954,                 1.2074,                 1.3558,                0.63282,                0.88267,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.2069,                 1.4641,                0.63348,                0.85835,                0.78162,                0.89482,                0.90274,                0.58883,                 0.7803,                0.71154,                0.79835,                0.35838,                 1.1717,                 1.3837,                0.62837,                0.87774,              0.0015182,              0.0015182,              0.0015182
                     75,                  1.252,                 1.4915,                0.64396,                0.86581,                0.81943,                0.83974,                0.89592,                0.58998,                 0.7754,                0.79487,                0.85038,                0.40528,                  1.132,                 1.3014,                  0.626,                0.88124,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.2454,                 1.4776,                0.63765,                 0.8617,                0.79303,                0.88421,                0.90354,                0.60016,                 0.8148,                0.72436,                0.81768,                 0.3823,                 1.1699,                 1.3172,                0.61793,                 0.8864,               0.001505,               0.001505,               0.001505
                     77,                 1.2022,                 1.4759,                0.62221,                0.86222,                0.80503,                0.88462,                0.90429,                0.57413,                0.79371,                0.73077,                0.81161,                0.37685,                 1.2265,                 1.4305,                0.62713,                0.89675,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.1942,                 1.4372,                0.61162,                 0.8571,                0.76726,                0.89103,                0.90552,                0.57239,                0.75787,                0.69872,                0.78462,                0.36048,                 1.2413,                 1.3671,                0.64031,                0.89694,              0.0014918,              0.0014918,              0.0014918
